seq,sub_seq,conference,year,Long / Short /Stud,author,title & author,section,src,# of sentence,,
41,,,,,"Caroline Chan, Shiry Ginosar, Tinghui Zhou, Alexei A. Efros",Everybody Dance Now,abstract,https://arxiv.org/abs/1808.07371,5,,
42,,,,,"Dinghan Shen, Pengyu Cheng, Dhanasekar Sundararaman, Xinyuan Zhang, Qian Yang, Meng Tang, Asli Celikyilmaz, Lawrence Carin",Learning Compressed Sentence Representations for On-Device Text Processing,abstract,https://arxiv.org/abs/1906.08340,6,,
43,,,,,"Yiming Cui, Wanxiang Che, Ting Liu, Bing Qin, Ziqing Yang, Shijin Wang, Guoping Hu",Pre-Training with Whole Word Masking for Chinese BERT,abstract,https://arxiv.org/abs/1906.08101,9,,
44,,,,,"Jiin Nam, Seunghyun Yoon, Kyomin Jung",Surf at MEDIQA 2019: Improving Performance of Natural Language Inference in the Clinical Domain by Adopting Pre-trained Language Model,abstract,https://arxiv.org/abs/1906.07854,6,,
45,,,,,"Antoine Caubrière, Natalia Tomashenko, Antoine Laurent, Emmanuel Morin, Nathalie Camelin, Yannick Estève",Curriculum-based transfer learning for an effective end-to-end spoken language understanding and domain portability,abstract,https://arxiv.org/abs/1906.07601,6,,
46,,,,,"Stefan Schweter, Johannes Baiter",Towards Robust Named Entity Recognition for Historic German,abstract,https://arxiv.org/abs/1906.07592,5,,
47,,,,,"Julien Rossi, Matthias Wirth, Evangelos Kanoulas",Query Generation for Patent Retrieval with Keyword Extraction based on Syntactic Features,abstract,https://arxiv.org/abs/1906.07591,4,,
48,,,,,"Menglin Xia, Ekaterina Kochmar, Ted Briscoe",Text Readability Assessment for Second Language Learners,abstract,https://arxiv.org/abs/1906.07580,5,,
49,,,,,"Xianxu Hou, Linlin Shen, Ke Sun, Guoping Qiu",Deep Feature Consistent Variational Autoencoder,abstract,https://arxiv.org/abs/1610.00291,5,,
50,,,,,"Ting-Chun Wang, Ming-Yu Liu, Jun-Yan Zhu, Guilin Liu, Andrew Tao, Jan Kautz, Bryan Catanzaro",Video-to-Video synthesis,abstract,https://arxiv.org/abs/1808.06601,8,,
51,,,,,"Mingxing Tan, Bo Chen, Ruoming Pang, Vijay Vasudevan, Mark Sandler, Andrew Howard, Quoc V. Le",MnasNet: Platform-Aware Neural Architecture Search for Mobile,abstract,https://arxiv.org/abs/1807.11626,8,,
52,,,,,"Jianbo Chen, Le Song, Martin J. Wainwright, Michael I. Jordan",Learning to Explain: An Information-Theoretic Perspective on Model Interpretation,abstract,https://arxiv.org/abs/1802.07814,4,,
53,,,,,"Guilin Liu, Fitsum A. Reda, Kevin J. Shih, Ting-Chun Wang, Andrew Tao, Bryan Catanzaro",Image Inpainting for Irregular Holes Using Partial Convolutions,abstract,https://arxiv.org/abs/1804.07723,7,,
54,,,,,"Mark Sandler, Andrew Howard, Menglong Zhu, Andrey Zhmoginov, Liang-Chieh Chen",MobileNetV2: Inverted Residuals and Linear Bottlenecks,abstract,https://arxiv.org/abs/1801.04381,8,,
55,,,,,"Andrew Brock, Jeff Donahue, Karen Simonyan",Large Scale GAN Training for High Fidelity Natural Image Synthesis,abstract,https://arxiv.org/abs/1809.11096,5,,
56,,,,,"Bharat Singh, Larry S. Davis",An Analysis of Scale Invariance in Object Detection - SNIP,abstract,https://arxiv.org/abs/1711.08189,9,,
57,,,,,"Mark Buckler, Philip Bedoukian, Suren Jayasuriya, Adrian Sampson",EVA2:Exploiting Temporal Redundancy in Live Computer Vision,abstract,https://arxiv.org/abs/1803.06312,8,,
58,,,,,"Yochai Blau, Tomer Michaeli",The Perception Distortion Tradeoff,abstract,https://arxiv.org/abs/1711.06077,9,,
59,,,,,"Aayush Bansal, Shugao Ma, Deva Ramanan, Yaser Sheikh",Recycle-GAN: Unsupervised Video Retargeting,abstract,https://arxiv.org/abs/1808.05174,5,,
60,,,,,"Thomas Schlegl, Philipp Seeböck, Sebastian M. Waldstein, Ursula Schmidt-Erfurth, Georg Langs",Unsupervised Anomaly Detection with Generative Adversarial Networks to Guide Marker Discovery,abstract,https://arxiv.org/abs/1703.05921,7,,
61,,,,,"Diederik P. Kingma, Prafulla Dhariwal",Glow: Generative Flow with Invertible 1x1 Convolutions,abstract,https://arxiv.org/abs/1807.03039,5,,
62,,,,,"Jan Svoboda, Jonathan Masci, Federico Monti, Michael M. Bronstein, Leonidas Guibas",PeerNets: Exploiting Peer Wisdom Against Adversarial Attacks,abstract,https://arxiv.org/abs/1806.00088,5,,
63,,,,,"Andrew Ilyas, Logan Engstrom, Anish Athalye, Jessy Lin",Black-Box Attacks with Limited Queries and Information,abstract,https://arxiv.org/abs/1804.08598,6,,
64,,,,,"Ozan Sener, Silvio Savarese",Active Learning For Convolutional Neural Networks: A Core-Set Approach,abstract,https://arxiv.org/abs/1708.00489,8,,
65,,,,,"Ningning Ma, Xiangyu Zhang, Hai-Tao Zheng, Jian Sun",ShuffleNet V2: Practical Guidelines for Efficient CNN Architecture Design,abstract,https://arxiv.org/abs/1807.11164,6,,
66,,,,,"Ahmed Elgammal, Bingchen Liu, Mohamed Elhoseiny, Marian Mazzone",CAN: Creative Adversarial Networks,abstract,https://arxiv.org/abs/1706.07068,8,,
67,,,,,"Guilin Liu, Kevin J. Shih, Ting-Chun Wang, Fitsum A. Reda, Karan Sapra, Zhiding Yu, Andrew Tao, Bryan Catanzaro",Partial Convolution based Padding,abstract,https://arxiv.org/abs/1811.11718,4,,
68,,,,,"Junbo Zhao, Michael Mathieu, Yann LeCun",ENERGY-BASED GENERATIVE ADVERSARIAL NETWORKS,abstract,https://arxiv.org/abs/1609.03126,6,,
69,,,,,"Florian Schroff, Dmitry Kalenichenko, James Philbin",FaceNet: A Unified Embedding for Face Recognition and Clustering,abstract,https://arxiv.org/abs/1503.03832,11,,
70,,,,,"Sicong Huang, Qiyang Li, Cem Anil, Xuchan Bao, Sageev Oore, Roger B. Grosse",TimbreTron: A Wavenet(CycleGAN(CQT(Audio))) pipeline for musical timbre transfer,abstract,https://arxiv.org/abs/1811.09620,5,,
71,,,,,"Alexander Sergeev, Mike Del Balso",Horovod: fast and easy distributed deep learning in TensorFlow,abstract,https://arxiv.org/abs/1802.05799,9,,
72,,,,,"Jonathan Ho, Stefano Ermon",Generative Adversarial Imitation Learning,abstract,https://arxiv.org/abs/1606.03476,5,,
73,,,,,"Tero Karras, Samuli Laine, Timo Aila",A Style-Based Generator Architecture for Generative Adversarial Networks,abstract,https://arxiv.org/abs/1812.04948,5,,
74,,,,,"Wei Liu, Dragomir Anguelov, Dumitru Erhan, Christian Szegedy, Scott Reed, Cheng-Yang Fu, Alexander C. Berg",SSD: Single Shot MultiBox Detector,abstract,https://arxiv.org/abs/1512.02325,10,,
75,,,,,"Priya Goyal, Piotr Dollár, Ross Girshick, Pieter Noordhuis, Lukasz Wesolowski, Aapo Kyrola, Andrew Tulloch, Yangqing Jia, Kaiming He","Accurate, Large Minibatch SGD: Training ImageNet in 1 Hour",abstract,https://arxiv.org/abs/1706.02677,10,,
76,,,,,"Shibani Santurkar, Dimitris Tsipras, Andrew Ilyas, Aleksander Madry",How Does Batch Normalization Help Optimization?,abstract,https://arxiv.org/abs/1805.11604,6,,
77,,,,,"Ting Chen, Xiaohua Zhai, Marvin Ritter, Mario Lucic, Neil Houlsby",Self-Supervised Generative Adversarial Networks,abstract,https://arxiv.org/abs/1811.11212,8,,
78,,,,,"Luca Bertinetto, Jack Valmadre, João F. Henriques, Andrea Vedaldi, Philip H. S. Torr",Fully Convolutional Siamese Networks for Object Tracking,abstract,https://arxiv.org/abs/1606.09549,6,,
79,,,,,"Xuezhou Zhang, Xiaojin Zhu, Stephen J. Wright",Training Set Debugging Using Trusted Items,abstract,https://arxiv.org/abs/1801.08019,8,,
80,,,,,"Chenxi Liu, Liang-Chieh Chen, Florian Schroff, Hartwig Adam, Wei Hua, Alan Yuille, Li Fei-Fei",Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation,abstract,https://arxiv.org/abs/1901.02985,8,,
81,,,,,"Martin Arjovsky, Soumith Chintala, Léon Bottou",Wasserstein GAN,abstract,https://arxiv.org/abs/1701.07875,3,,
82,,,,,"Prajit Ramachandran, Niki Parmar, Ashish Vaswani, Irwan Bello, Anselm Levskaya, Jonathon Shlens",Stand-Alone Self-Attention in Vision Models,abstract,https://arxiv.org/abs/1906.05909,9,,
83,,,,,"David Ha, Jürgen Schmidhuber",Recurrent World Models Facilitate Policy Evolution,abstract,https://arxiv.org/abs/1809.01999,4,,
84,,,,,"Amir Gholami, Kiseok Kwon, Bichen Wu, Zizheng Tai, Xiangyu Yue, Peter Jin, Sicheng Zhao, Kurt Keutzer",SqueezeNext: Hardware-Aware Neural Network Design,abstract,https://arxiv.org/abs/1803.10615,6,,
85,,,,,"Liwei Wang, Yin Li, Svetlana Lazebnik",Learning Deep Structure-Preserving Image-Text Embeddings,abstract,https://arxiv.org/abs/1511.06078,4,,
86,,,,,"Izhak Golan, Ran El-Yaniv",deep anomaly detection using geometric transformations,abstract,https://arxiv.org/abs/1805.10917,5,,
87,,,,,"Justin Johnson, Alexandre Alahi, Li Fei-Fei",Perceptual Losses for Real-Time Style Transfer and Super-Resolution,abstract,https://arxiv.org/abs/1603.08155,7,,
88,,,,,"Robert Geirhos, Patricia Rubisch, Claudio Michaelis, Matthias Bethge, Felix A. Wichmann, Wieland Brendel",ImageNet-trained CNNs are Biased Towards Textures ; increasing shape bias improves accuracy and robustness,abstract,https://arxiv.org/abs/1811.12231,5,,
89,,,,,"Richard Zhang, Phillip Isola, Alexei A. Efros, Eli Shechtman, Oliver Wang",The Unreasonable Effectiveness of Deep Features as a Perceptual Metric,abstract,https://arxiv.org/abs/1801.03924,8,,
90,,,,,"Yunjey Choi, Minje Choi, Munyoung Kim, Jung-Woo Ha, Sunghun Kim, Jaegul Choo",StarGAN: Unified Generative Adversarial Networks for Multi-Domain Image-to-Image Translation,abstract,https://arxiv.org/abs/1711.09020,6,,
91,,,,,"Nikhil Mishra, Mostafa Rohaninejad, Xi Chen, Pieter Abbeel",SNAIL: A Simple Neural Attentive Meta-Learner,abstract,https://arxiv.org/abs/1707.03141,6,,
92,,,,,"Taesung Park, Ming-Yu Liu, Ting-Chun Wang, Jun-Yan Zhu",Semantic Image Synthesis with Spatially-Adaptive Normalization,abstract,https://arxiv.org/abs/1903.07291,7,,
93,,,,,"Saining Xie, Alexander Kirillov, Ross Girshick, Kaiming He",Exploring Randomly Wired Neural Networks for Image Recognition,abstract,https://arxiv.org/abs/1904.01569,9,,
94,,,,,"Olga Russakovsky, Li-Jia Li, Li Fei-Fei",Best of both worlds: human-machine collaboration for object annotation,abstract,https://ieeexplore.ieee.org/document/7298824/authors#authors,8,,
95,,,,,"Xuebo Liu, Ding Liang, Shi Yan, Dagui Chen, Yu Qiao, Junjie Yan",FOTS: Fast Oriented Text Spotting with a Unified Network,abstract,https://arxiv.org/abs/1801.01671,6,,
96,,,,,"Cheng Chen, Qi Dou, Hao Chen, Jing Qin, Pheng-Ann Heng",SIFA: Towards Cross- Modality Domain Adaptation for Medical Image Segmentation,abstract,https://arxiv.org/abs/1901.08211,8,,
97,,,,,"Zhilin Yang, Jake Zhao, Bhuwan Dhingra, Kaiming He, William W. Cohen, Ruslan Salakhutdinov, Yann LeCun",GLoMo: Unsupervised Learning of Transferable Relational Graph,abstract,https://arxiv.org/abs/1806.05662,5,,
98,,,,,"Zihang Dai, Zhilin Yang, Yiming Yang, Jaime Carbonell, Quoc V. Le, Ruslan Salakhutdinov",Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,abstract,https://arxiv.org/abs/1901.02860,8,,
99,,,,,"Rodrigo Santa Cruz, Basura Fernando, Anoop Cherian, Stephen Gould",DeepPermNet: Visual Permutation Learning,abstract,https://arxiv.org/abs/1704.02729,8,,
100,,,,,"Shengjia Zhao, Jiaming Song, Stefano Ermon",InfoVAE: Balancing Learning and Inference in Variational Autoencoders,abstract,https://arxiv.org/abs/1706.02262,6,,
101,,,,,"Egor Zakharov, Aliaksandra Shysheya, Egor Burkov, Victor Lempitsky",Few-Shot Adversarial Learning of Realistic Neural Talking Head Models,abstract,https://arxiv.org/abs/1905.08233,,,
102,,,,,"Been Kim, Martin Wattenberg, Justin Gilmer, Carrie Cai, James Wexler, Fernanda Viegas, Rory Sayres",Interpretability Beyond Feature Attribution: Testing with Concept Activation Vector (TCAV),abstract,https://arxiv.org/abs/1711.11279,,,
103,,,,,"Ming-Yu Liu, Xun Huang, Arun Mallya, Tero Karras, Timo Aila, Jaakko Lehtinen, Jan Kautz",Few Shot Unsupervised Image to Image Translation,abstract,https://arxiv.org/abs/1905.01723,,,
104,,,,,"Mingxing Tan, Quoc V. Le",EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,abstract,https://arxiv.org/abs/1905.11946,,,
105,,,,,"Weiyang Liu, Yandong Wen, Zhiding Yu, Meng Yang",Large margin softmax loss for Convolutional Neural Networks,abstract,https://arxiv.org/abs/1612.02295,,,
106,,,,,"Hamid Rezatofighi, Nathan Tsoi, JunYoung Gwak, Amir Sadeghian, Ian Reid, Silvio Savarese",Generalized Intersection over Union: A Metric and A Loss for Bounding Box Regression,abstract,https://arxiv.org/abs/1902.09630,,,
107,,,,,"Rafael Gómez-Bombarelli, Jennifer N. Wei, David Duvenaud, José Miguel Hernández-Lobato, Benjamín Sánchez-Lengeling, Dennis Sheberla, Jorge Aguilera-Iparraguirre, Timothy D. Hirzel, Ryan P. Adams, Alán Aspuru-Guzik",Automatic Chemical Design Using a Data-Driven Continuous Representation of Molecules,abstract,https://arxiv.org/abs/1610.02415,,,
108,,,,,"Zhilin Yang, Zihang Dai, Yiming Yang, Jaime Carbonell, Ruslan Salakhutdinov, Quoc V. Le",XLNet: Generalized Autoregressive Pretraining for Language Understanding,abstract,https://arxiv.org/abs/1906.08237,,,
109,,,,,"Luisa F. Polania, Kenneth E. Barner",Exploiting Restricted Boltzmann Machines and Deep Belief Networks in Compressed Sensing,abstract,https://arxiv.org/abs/1705.10500,,,
110,,,,,"Qijie Zhao, Tao Sheng, Yongtao Wang, Zhi Tang, Ying Chen, Ling Cai, Haibin Ling",M2Det: A Single-Shot Object Detector based on Multi-Level Feature Pyramid Network,abstract,https://arxiv.org/abs/1811.04533,,,
111,,,,,Seung-Hwan Bae,Object Detection based on Region Decomposition and Assembly,abstract,https://arxiv.org/abs/1901.08225,,,
112,,,,,"Yang Zhang, Hassan Foroosh, Philip David, Boqing Gong",CAMOU: Learning Physical Vehicle Camouflages to Adversarially Attack Detectors in the Wild,abstract,https://openreview.net/forum?id=SJgEl3A5tm,,,
113,,,,,"Hongyang Li, Bo Dai, Shaoshuai Shi, Wanli Ouyang, Xiaogang Wang",Feature Intertwiner for Object Detection,abstract,https://arxiv.org/abs/1903.11851,,,
114,,,,,"Aruni RoyChowdhury, Prithvijit Chakrabarty, Ashish Singh, SouYoung Jin, Huaizu Jiang, Liangliang Cao, Erik Learned-Miller",Automatic adaptation of object detectors to new domains using self-training,abstract,https://arxiv.org/abs/1904.07305,,,
115,,,,,"Jiangmiao Pang, Kai Chen, Jianping Shi, Huajun Feng, Wanli Ouyang, Dahua Lin",Libra R-CNN: Balanced Learning for Object Detection,abstract,https://arxiv.org/abs/1904.02701,,,
116,,,,,"Chenchen Zhu, Yihui He, Marios Savvides",Feature Selective Anchor-Free Module for Single-Shot Object Detection,abstract,https://arxiv.org/abs/1903.00621,,,
117,,,,,"Xingyi Zhou, Jiacheng Zhuo, Philipp Krähenbühl",Bottom-up Object Detection by Grouping Extreme and Center Points,abstract,https://arxiv.org/abs/1901.08043,,,
118,,,,,"Fang Wan, Chang Liu, Wei Ke, Xiangyang Ji, Jianbin Jiao, Qixiang Ye",C-MIL: Continuation Multiple Instance Learning for Weakly Supervised Object Detection,abstract,https://arxiv.org/abs/1904.05647,,,
119,,,,,"Rui Zhu, Shifeng Zhang, Xiaobo Wang, Longyin Wen, Hailin Shi, Liefeng Bo, Tao Mei",ScratchDet: Training Single-Shot Object Detectors from Scratch,abstract,https://arxiv.org/abs/1810.08425,,,
120,,,,,"Yihui He, Chenchen Zhu, Jianren Wang, Marios Savvides, Xiangyu Zhang",Bounding Box Regression with Uncertainty for Accurate Object Detection,abstract,https://arxiv.org/abs/1809.08545,,,
121,,,,,"Zhenheng Yang, Dhruv Mahajan, Deepti Ghadiyaram, Ram Nevatia, Vignesh Ramanathan",Activity Driven Weakly Supervised Object Detection,abstract,https://arxiv.org/abs/1904.01665,,,
122,,,,,"Kean Chen, Jianguo Li, Weiyao Lin, John See, Ji Wang, Lingyu Duan, Zhibo Chen, Changwei He, Junni Zou",Towards Accurate One-Stage Object Detection with AP-Loss,abstract,https://arxiv.org/abs/1904.06373,,,
123,,,,,"Kuniaki Saito, Yoshitaka Ushiku, Tatsuya Harada, Kate Saenko",Strong-Weak Distribution Alignment for Adaptive Object Detection,abstract,https://arxiv.org/abs/1812.04798,,,
124,,,,,"Golnaz Ghiasi, Tsung-Yi Lin, Ruoming Pang, Quoc V. Le",NAS-FPN: Learning Scalable Feature Pyramid Architecture for Object Detection,abstract,https://arxiv.org/abs/1904.07392,,,
125,,,,,"Songtao Liu, Di Huang, Yunhong Wang",Adaptive NMS: Refining Pedestrian Detection in a Crowd,abstract,https://arxiv.org/abs/1904.03629,,,
126,,,,,"Yuting Liu, Miaojing Shi, Qijun Zhao, Xiaofang Wang","Point in, Box out: Beyond Counting Persons in Crowds",abstract,https://arxiv.org/abs/1904.01333,,,
127,,,,,"Javier Ribera, David Güera, Yuhao Chen, Edward J. Delp",Locating Objects Without Bounding Boxes,abstract,https://arxiv.org/abs/1806.07564,,,
128,,,,,"Yusuke Niitani, Takuya Akiba, Tommi Kerola, Toru Ogawa, Shotaro Sano, Shuji Suzuki",Sampling Techniques for Large-Scale Object Detection from Sparsely Annotated Objects,abstract,https://arxiv.org/abs/1811.10862,,,
129,,,,,"Xudong Wang, Zhaowei Cai, Dashan Gao, Nuno Vasconcelos",Towards Universal Object Detection by Domain Attention,abstract,https://arxiv.org/abs/1904.04402,,,
130,,,,,"Ehud Barnea, Ohad Ben-Shahar",Exploring the Bounds of the Utility of Context for Object Detection,abstract,https://arxiv.org/abs/1711.05471,,,
131,,,,,"Johann Sawatzky, Yaser Souri, Christian Grund, Juergen Gall",What Object Should I Use? - Task Driven Object Detection,abstract,https://arxiv.org/abs/1904.03000,,,
132,,,,,"Aditya Arun, C.V. Jawahar, M. Pawan Kumar",Dissimilarity Coefficient based Weakly Supervised Object Detection,abstract,https://arxiv.org/abs/1811.10016,,,
133,,,,,"Tao Wang, Li Yuan, Xiaopeng Zhang, Jiashi Feng",Distilling Object Detectors with Fine-grained Feature Imitation,abstract,https://arxiv.org/abs/1906.03609,,,
134,,,,,"Carl Doersch, Andrew Zisserman",Multi-task Self-Supervised Visual Learning,abstract,https://arxiv.org/abs/1708.07860,,,
135,,,,,"Xiaobing Wang, Yingying Jiang, Zhenbo Luo, Cheng-Lin Liu, Hyunsoo Choi, Sungjin Kim",Arbitrary Shape Scene Text Detection with Adaptive Text Region Representation,abstract,https://arxiv.org/abs/1905.05980,,,
136,,,,,"Mohammad Mahdi Derakhshani, Saeed Masoudnia, Amir Hossein Shaker, Omid Mersa, Mohammad Amin Sadeghi, Mohammad Rastegari, Babak N. Araabi",Assisted Excitation of Activations: A Learning Technique to Improve Object Detectors,abstract,https://arxiv.org/abs/1906.05388,,,
137,,,,,"Xiaoyan Li, Meina Kan, Shiguang Shan, Xilin Chen",Weakly Supervised Object Detection with Segmentation Collaboration,abstract,https://arxiv.org/abs/1904.00551,,,
138,,,,,"Taekyung Kim, Minki Jeong, Seunghyeon Kim, Seokeon Choi, Changick Kim",Diversify and Match: A Domain Adaptive Representation Learning Paradigm for Object Detection,abstract,https://arxiv.org/abs/1905.05396,,,
139,,,,,"Tegg Taekyong Sung, Valliappa Chockalingam, Alex Yahja, Bo Ryu",Neural Heterogeneous Scheduler,abstract,https://arxiv.org/abs/1906.03724,,,
140,,,,,"Hongyang Li, Yu Liu, Wanli Ouyang, Xiaogang Wang",Zoom Out-and-In Network with Recursive Training for Object Proposal,abstract,https://arxiv.org/abs/1702.05711,,,
141,,,,,"Aleksandra Malysheva, Tegg Taekyong Sung, Chae-Bong Sohn, Daniel Kudenko, Aleksei Shpilman",Deep Multi-Agent Reinforcement Learning with Relevance Graphs,abstract,https://arxiv.org/abs/1811.12557,,,
142,,,,,"Kevin Clark, Minh-Thang Luong, Christopher D. Manning, Quoc V. Le",Semi-Supervised Sequence Modeling with Cross-View Training,abstract,https://arxiv.org/abs/1809.08370,,,
143,,,,,"Alec Radford, Jeffrey Wu, Rewon Child, David Luan, Dario Amodei, Ilya Sutskever",Language Models are Unsupervised Multitask Learners,abstract,https://d4mucfpksywv.cloudfront.net/better-language-models/language_models_are_unsupervised_multitask_learners.pdf,,,
144,,,,,"Armand Joulin, Edouard Grave, Piotr Bojanowski, Tomas Mikolov",Bag of Tricks for Efficient Text Classification,abstract,https://arxiv.org/abs/1607.01759,,,
